system_code,time_slot,record_id,timestamp,capacity,latitude,longitude,occupancy,vehicle_type,traffic_condition_nearby,queue_length,is_special_day,occupancy_raw,occupancy_clean,occupancy_anomaly_flag,available_spaces,utilization,date,month,day,day_of_week,day_name,is_weekend,hour,minute,slot_index,hour_sin,hour_cos,dow_sin,dow_cos,traffic_level,vehicle_priority,is_new_session,session_id,minutes_from_previous,session_step,session_size,session_progress,capacity_pressure,parking_stress_index,neighbor_utilization_mean,neighbor_queue_mean,neighbor_stress_mean,mean_neighbor_distance,lag_utilization_prev_day,lag_queue_prev_day,lag_stress_prev_day,spatial_utilization_gap,lag_occupancy_30m,lag_occupancy_60m,lag_utilization_30m,lag_utilization_60m,lag_utilization_120m,lag_queue_30m,rolling_utilization_3,rolling_utilization_6,rolling_queue_3,rolling_queue_6,rolling_stress_3,utilization_delta_30m,utilization_delta_60m,target_time_slot,target_occupancy_1h,target_available_spaces_1h,target_utilization_1h,target_stress_1h,target_time_slot_30m,target_utilization_30m,target_available_spaces_30m,target_time_slot_2h,target_utilization_2h,target_available_spaces_2h,future_demand_regime,current_utilization_band,target_utilization_band_1h,anomaly_flag,anomaly_score,anomaly_reason
BHMBCCMKT01,2016-11-23 15:30:00,879,2016-11-23 15:31:00,577,26.14453614,91.73617216,119.0,car,low,2.0,0,119.0,119.0,0,458.0,0.20623916811091855,2016-11-23,11,23,2,Wednesday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,2,False,50,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.14471403812824957,1.9626077816816916,5.990549242304826,1.3753725302043465,0.001897330778018105,0.2772963604852686,2.0,0.1944540727902946,-1.756368613570773,126.0,150.0,0.21837088388214904,0.25996533795493937,0.31369150779896016,2.0,0.2616984402079723,0.2882726747544772,3.0,4.833333333333333,0.2837088388214905,-0.012131715771230484,-0.053726169844020816,2016-11-23 16:30:00,92.0,485.0,0.15944540727902945,0.1117850953206239,2016-11-23 16:00:00,0.17677642980935876,475.0,,,,Stable,Low,Low,1,0.6591213642010683,Unusual demand pattern detected
BHMBCCMKT01,2016-11-30 10:00:00,994,2016-11-30 10:01:00,577,26.14453614,91.73617216,81.0,car,low,2.0,0,81.0,81.0,0,496.0,0.14038128249566725,2016-11-30,11,30,2,Wednesday,0,10,0,20,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,2,False,58,30.0,4,18,0.2222222222222222,0.0034662045060658577,0.09861351819757366,1.8074973190635195,6.0,1.2667972171711357,0.001897330778018105,0.1559792027729636,2.0,0.10953206239168109,-1.6671160365678523,49.0,35.0,0.08492201039861352,0.060658578856152515,0.029462738301559793,1.0,0.06239168110918544,0.05415944540727903,0.6666666666666666,0.75,0.04378971692663201,0.05545927209705373,0.07972270363951474,2016-11-30 11:00:00,134.0,443.0,0.2322357019064125,0.26325823223570194,2016-11-30 10:30:00,0.1854419410745234,470.0,2016-11-30 12:00:00,0.31542461005199307,395.0,Stable,Low,Low,1,0.6589785240120342,Unusual demand pattern detected
BHMBCCMKT01,2016-12-07 15:30:00,1095,2016-12-07 15:32:00,577,26.14453614,91.73617216,125.0,bike,low,2.0,0,125.0,125.0,0,452.0,0.21663778162911612,2016-12-07,12,7,2,Wednesday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,1,False,63,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.15199306759098788,1.9834433379931848,6.0,1.390904506191419,0.001897330778018105,0.25996533795493937,2.0,0.2823223570190641,-1.7668055563640688,137.0,157.0,0.23743500866551126,0.2720970537261698,0.317157712305026,5.0,0.2703639514731369,0.28913922588099367,4.333333333333333,5.166666666666667,0.32333911034084345,-0.02079722703639514,-0.0554592720970537,2016-12-07 16:30:00,103.0,474.0,0.17850953206239167,0.12512998266897746,2016-12-07 16:00:00,0.19930675909878684,462.0,,,,Stable,Low,Low,1,0.6582300623896999,Unusual demand pattern detected
BHMBCCMKT01,2016-11-26 14:30:00,931,2016-11-26 14:41:00,577,26.14453614,91.73617216,573.0,car,high,7.0,0,573.0,573.0,0,4.0,0.9930675909878682,2016-11-26,11,26,5,Saturday,1,14,30,29,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,2,2,False,54,30.0,13,18,0.7222222222222222,0.012131715771230503,0.8963604852686309,1.9948523532553946,6.009450757695174,1.5979477519049579,0.001897330778018105,0.6152512998266898,4.0,0.531369150779896,-1.0017847622675262,551.0,508.0,0.9549393414211439,0.8804159445407279,0.7417677642980935,4.0,0.8942807625649913,0.7631426920854997,6.333333333333333,6.5,0.7937608318890815,0.03812824956672434,0.11265164644714032,2016-11-26 15:30:00,551.0,26.0,0.9549393414211439,0.7688041594454073,2016-11-26 15:00:00,0.9826689774696707,10.0,2016-11-26 16:30:00,0.8682842287694974,76.0,Congested,Critical,Critical,1,0.6568283551884077,Unusual demand pattern detected
BHMBCCTHL01,2016-11-26 15:00:00,2244,2016-11-26 15:01:00,387,26.14449459,91.73620513,401.0,car,average,4.0,0,401.0,387.0,1,0.0,1.0,2016-11-26,11,26,5,Saturday,1,15,0,30,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1,2,False,54,30.0,14,18,0.7777777777777778,0.0103359173126615,0.8010335917312661,1.9604667245454468,3.9999999999999996,1.3730206920105377,0.0019019720877115978,1.0,5.0,0.9012919896640826,-0.9604667245454468,387.0,387.0,1.0,1.0,1.0,3.0,1.0,1.0,5.333333333333333,6.5,0.8680447889750215,0.0,0.0,2016-11-26 16:00:00,387.0,0.0,1.0,0.700516795865633,2016-11-26 15:30:00,1.0,0.0,,,,Congested,Critical,Critical,1,0.656433688509353,Unusual demand pattern detected
BHMBCCMKT01,2016-11-19 15:30:00,807,2016-11-19 15:31:00,577,26.14453614,91.73617216,489.0,car,low,2.0,0,489.0,489.0,0,88.0,0.8474870017331022,2016-11-19,11,19,5,Saturday,1,15,30,31,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,2,False,46,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.5935875216637782,1.9956767810543352,4.009450757695174,1.398953562524843,0.001897330778018105,0.28422876949740034,1.0,0.1991334488734835,-1.148189779321233,482.0,473.0,0.8353552859618717,0.8197573656845754,0.7435008665511266,3.0,0.8359329867128827,0.755632582322357,4.333333333333333,5.833333333333333,0.685904101675332,0.012131715771230511,0.02772963604852685,2016-11-19 16:30:00,431.0,146.0,0.7469670710571924,0.6232235701906412,2016-11-19 16:00:00,0.7833622183708839,125.0,,,,Congested,High,High,1,0.653766447648973,Unusual demand pattern detected
BHMBCCTHL01,2016-11-19 15:30:00,2119,2016-11-19 15:31:00,387,26.14449459,91.73620513,388.0,car,low,2.0,0,388.0,387.0,1,0.0,1.0,2016-11-19,11,19,5,Saturday,1,15,30,31,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,2,False,46,30.0,15,18,0.8333333333333334,0.00516795865633075,0.700516795865633,1.6920992798410421,4.009427369247327,1.1861082234654312,0.0019019720877115978,0.9328165374677002,2.0,0.6534883720930231,-0.6920992798410421,387.0,387.0,1.0,1.0,1.0,2.0,1.0,1.0,3.3333333333333335,5.333333333333333,0.7675279931093884,0.0,0.0,2016-11-19 16:30:00,387.0,0.0,1.0,0.700516795865633,2016-11-19 16:00:00,1.0,0.0,,,,Congested,Critical,Critical,1,0.653051415681964,Unusual demand pattern detected
BHMBCCMKT01,2016-12-12 15:30:00,1185,2016-12-12 15:29:00,577,26.14453614,91.73617216,131.0,truck,low,2.0,0,131.0,131.0,0,446.0,0.2270363951473137,2016-12-12,12,12,0,Monday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0,3,False,68,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.15927209705372616,1.997687580563947,4.009450757695174,1.3994160464120535,0.001897330778018105,0.561525129982669,3.0,0.3935875216637782,-1.7706511854166331,159.0,165.0,0.2755632582322357,0.28596187175043325,0.3275563258232236,3.0,0.29347198151357595,0.3018486424032351,3.6666666666666665,5.166666666666667,0.3393991912189485,-0.04852686308492202,-0.05892547660311956,2016-12-12 16:30:00,95.0,482.0,0.16464471403812825,0.11542461005199306,2016-12-12 16:00:00,0.19930675909878684,462.0,,,,Stable,Low,Low,1,0.6525313960514448,Unusual demand pattern detected
BHMBCCMKT01,2016-11-26 14:00:00,930,2016-11-26 14:01:00,577,26.14453614,91.73617216,551.0,car,average,4.0,0,551.0,551.0,0,26.0,0.9549393414211439,2016-11-26,11,26,5,Saturday,1,14,0,28,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1,2,False,54,30.0,12,18,0.6666666666666666,0.006932409012131715,0.7691507798960138,1.9945306253338568,11.971647726914478,1.7983185172189975,0.001897330778018105,0.6187175043327556,4.0,0.533795493934142,-1.039591283912713,508.0,489.0,0.8804159445407279,0.8474870017331022,0.6377816291161178,7.0,0.8232235701906413,0.6753321779318312,7.666666666666667,6.666666666666667,0.7775852108607743,0.07452339688041598,0.10745233968804169,2016-11-26 15:00:00,567.0,10.0,0.9826689774696707,0.6882149046793761,2016-11-26 14:30:00,0.9930675909878682,4.0,2016-11-26 16:00:00,0.9410745233968805,34.0,Congested,Critical,Critical,1,0.6497733993094317,Unusual demand pattern detected
BHMBCCTHL01,2016-12-10 15:00:00,2460,2016-12-10 15:02:00,387,26.14449459,91.73620513,402.0,car,low,2.0,0,402.0,387.0,1,0.0,1.0,2016-12-10,12,10,5,Saturday,1,15,0,30,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,2,False,66,30.0,14,18,0.7777777777777778,0.00516795865633075,0.700516795865633,1.6454056656110783,7.981145261505345,1.3522251870139832,0.0019019720877115978,1.0,4.0,0.8010335917312661,-0.6454056656110783,387.0,387.0,1.0,1.0,1.0,4.0,1.0,1.0,5.333333333333333,6.166666666666667,0.8347114556416882,0.0,0.0,2016-12-10 16:00:00,387.0,0.0,1.0,0.7007751937984495,2016-12-10 15:30:00,1.0,0.0,,,,Congested,Critical,Critical,1,0.6491974356315832,Unusual demand pattern detected
BHMBCCTHL01,2016-11-19 15:00:00,2118,2016-11-19 15:04:00,387,26.14449459,91.73620513,388.0,car,low,2.0,0,388.0,387.0,1,0.0,1.0,2016-11-19,11,19,5,Saturday,1,15,0,30,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,2,False,46,30.0,14,18,0.7777777777777778,0.00516795865633075,0.700516795865633,1.6679502184627601,5.999999999999999,1.169548867091752,0.0019019720877115978,0.979328165374677,3.0,0.7863049095607234,-0.6679502184627601,387.0,387.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,6.333333333333333,0.834625322997416,0.0,0.0,2016-11-19 16:00:00,387.0,0.0,1.0,0.8007751937984495,2016-11-19 15:30:00,1.0,0.0,,,,Critical,Critical,Critical,1,0.6486673194623956,Unusual demand pattern detected
BHMBCCMKT01,2016-11-30 15:30:00,1005,2016-11-30 15:28:00,577,26.14453614,91.73617216,132.0,car,low,2.0,0,132.0,132.0,0,445.0,0.22876949740034663,2016-11-30,11,30,2,Wednesday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,2,False,58,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.16048526863084922,1.9523609214842619,4.0,1.3676853742567647,0.001897330778018105,0.2391681109185442,2.0,0.16776429809358753,-1.7235914240839152,154.0,181.0,0.2668977469670711,0.31369150779896016,0.3483535528596187,3.0,0.30675909878682844,0.32495667244367415,3.3333333333333335,5.166666666666667,0.31530906990179086,-0.03812824956672445,-0.08492201039861352,2016-11-30 16:30:00,106.0,471.0,0.18370883882149047,0.1289428076256499,2016-11-30 16:00:00,0.1975736568457539,463.0,,,,Stable,Low,Low,1,0.6461427409602475,Unusual demand pattern detected
BHMBCCTHL01,2016-10-16 12:00:00,1536,2016-10-16 12:01:00,387,26.14449459,91.73620513,345.0,car,high,11.0,1,345.0,345.0,0,42.0,0.8914728682170543,2016-10-16,10,16,6,Sunday,1,12,0,24,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,2,2,False,13,30.0,8,18,0.4444444444444444,0.028423772609819122,0.8268733850129198,0.22755089257968925,15.990572630752672,0.561116821372705,0.0019019720877115978,0.8087855297157622,7.0,0.7679586563307492,0.6639219756373651,345.0,345.0,0.8914728682170543,0.8914728682170543,0.8837209302325582,7.0,0.8914728682170543,0.8449612403100776,7.333333333333333,5.333333333333333,0.7592592592592592,0.0,0.0,2016-10-16 13:00:00,344.0,43.0,0.8888888888888888,0.8245478036175711,2016-10-16 12:30:00,0.8888888888888888,43.0,2016-10-16 14:00:00,0.8914728682170543,42.0,Critical,High,High,1,0.645749209378499,High queue and near-full utilization
BHMBCCMKT01,2016-12-14 15:30:00,1219,2016-12-14 15:30:00,577,26.14453614,91.73617216,142.0,car,low,3.0,0,142.0,142.0,0,435.0,0.24610051993067592,2016-12-14,12,14,2,Wednesday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0,2,False,72,30.0,8,11,0.7272727272727273,0.005199306759098787,0.17279029462738302,1.9988739522746177,4.0,1.4002444958100135,0.001897330778018105,0.22357019064124783,2.0,0.15684575389948008,-1.752773432343942,161.0,173.0,0.27902946273830154,0.29982668977469673,0.35701906412478335,3.0,0.3073367995378394,0.3220681686886193,3.3333333333333335,5.0,0.31571346042749854,-0.03292894280762562,-0.053726169844020816,2016-12-14 16:30:00,134.0,443.0,0.2322357019064125,0.16291161178509533,2016-12-14 16:00:00,0.2512998266897747,432.0,,,,Stable,Low,Low,1,0.6453183310785467,Unusual demand pattern detected
BHMBCCMKT01,2016-12-01 15:30:00,1023,2016-12-01 15:25:00,577,26.14453614,91.73617216,153.0,bike,low,3.0,0,153.0,153.0,0,424.0,0.2651646447140381,2016-12-01,12,1,3,Thursday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,1,False,59,30.0,15,18,0.8333333333333334,0.005199306759098787,0.18613518197573656,1.9992761121765399,5.990549242304826,1.4010403615507403,0.001897330778018105,0.22876949740034663,2.0,0.16048526863084922,-1.7341114674625018,168.0,173.0,0.29116117850953205,0.29982668977469673,0.35181975736568455,3.0,0.30675909878682844,0.3269786250722126,3.6666666666666665,5.333333333333333,0.3153668399768919,-0.025996533795493937,-0.03466204506065862,2016-12-01 16:30:00,108.0,469.0,0.18717504332755633,0.13136915077989603,2016-12-01 16:00:00,0.21317157712305027,454.0,,,,Stable,Low,Low,1,0.6450245657982691,Unusual demand pattern detected
BHMBCCMKT01,2016-12-08 15:30:00,1113,2016-12-08 15:26:00,577,26.14453614,91.73617216,148.0,car,low,2.0,0,148.0,148.0,0,429.0,0.2564991334488735,2016-12-08,12,8,3,Thursday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,2,False,64,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.17989601386481802,1.9985120083628876,5.990549242304826,1.4005054888811836,0.001897330778018105,0.21663778162911612,2.0,0.15199306759098788,-1.742012874914014,169.0,196.0,0.292894280762565,0.3396880415944541,0.37435008665511266,4.0,0.33506643558636623,0.35759676487579434,4.333333333333333,5.666666666666667,0.33529751588677065,-0.036395147313691534,-0.08318890814558061,2016-12-08 16:30:00,105.0,472.0,0.18197573656845753,0.12772963604852686,2016-12-08 16:00:00,0.2391681109185442,439.0,,,,Stable,Low,Low,1,0.6442953557299426,Unusual demand pattern detected
BHMBCCMKT01,2016-12-15 15:30:00,1237,2016-12-15 15:26:00,577,26.14453614,91.73617216,148.0,bike,low,2.0,0,148.0,148.0,0,429.0,0.2564991334488735,2016-12-15,12,15,3,Thursday,0,15,30,31,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419,0,1,False,73,30.0,15,18,0.8333333333333334,0.0034662045060658577,0.17989601386481802,1.9983511444021187,5.990549242304826,1.4003928841086455,0.001897330778018105,0.24610051993067592,3.0,0.17279029462738302,-1.7418520109532452,164.0,183.0,0.28422876949740034,0.317157712305026,0.3587521663778163,3.0,0.317735413056037,0.3477758521086078,3.3333333333333335,5.0,0.3229924898902369,-0.02772963604852685,-0.0606585788561525,2016-12-15 16:30:00,130.0,447.0,0.22530329289428075,0.1580589254766031,2016-12-15 16:00:00,0.24263431542461006,437.0,,,,Stable,Low,Low,1,0.6442953557299426,Unusual demand pattern detected
